id,dataset,task,label,source,model,device,answer_length_tokens,mean_token_probability,min_token_probability,max_token_probability,mean_token_logprob,min_token_logprob,max_token_logprob,sum_token_logprob,negative_mean_logprob,low_confidence_token_ratio
halueval_qa_000000_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,3,0.96435546875,0.92333984375,0.9951171875,-0.036867777506510414,-0.0799560546875,-0.00489044189453125,-0.11060333251953125,0.036867777506510414,0.0
halueval_qa_000000_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,7,0.6115068708147321,0.039703369140625,0.99462890625,-1.0644416809082031,-3.2265625,-0.005489349365234375,-7.451091766357422,1.0644416809082031,0.2857142857142857
halueval_qa_000001_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.843994140625,0.68798828125,1.0,-0.1869417428970337,-0.373779296875,-0.00010418891906738281,-0.3738834857940674,0.1869417428970337,0.0
halueval_qa_000001_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,12,0.49952232837677,0.0007987022399902344,0.99951171875,-1.9712657729784648,-7.1328125,-0.00030112266540527344,-23.655189275741577,1.9712657729784648,0.3333333333333333
halueval_qa_000002_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,3,0.8590494791666666,0.58740234375,0.99560546875,-0.1807708740234375,-0.53173828125,-0.004608154296875,-0.5423126220703125,0.1807708740234375,0.0
halueval_qa_000002_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,23,0.49498665851095447,0.002178192138671875,0.99951171875,-1.9090059529180112,-6.12890625,-0.0005965232849121094,-43.90713691711426,1.9090059529180112,0.34782608695652173
halueval_qa_000003_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,1,0.4794921875,0.4794921875,0.4794921875,-0.73486328125,-0.73486328125,-0.73486328125,-0.73486328125,0.73486328125,0.0
halueval_qa_000003_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,8,0.6127939224243164,0.01319122314453125,0.99853515625,-1.0366597175598145,-4.328125,-0.001583099365234375,-8.293277740478516,1.0366597175598145,0.25
halueval_qa_000004_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.576416015625,0.15771484375,0.9951171875,-0.9257450103759766,-1.8466796875,-0.004810333251953125,-1.8514900207519531,0.9257450103759766,0.0
halueval_qa_000004_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,6,0.29088202118873596,1.4722347259521484e-05,0.892578125,-3.5269571940104165,-11.125,-0.1134033203125,-21.1617431640625,3.5269571940104165,0.5
halueval_qa_000005_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.6170654296875,0.318115234375,0.916015625,-0.616607666015625,-1.1455078125,-0.08770751953125,-1.23321533203125,0.616607666015625,0.0
halueval_qa_000005_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,10,0.7161376953125,0.1201171875,0.99853515625,-0.5684881210327148,-2.119140625,-0.0016307830810546875,-5.684881210327148,0.5684881210327148,0.0
halueval_qa_000006_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,5,0.7896148681640625,0.0296173095703125,0.998046875,-0.7207927703857422,-3.51953125,-0.00217437744140625,-3.603963851928711,0.7207927703857422,0.2
